Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ritikarawlani.smart-outbreak-measles.json	25607	-	0	0	0	0	0	0	8	104	0	0	0	0	0	0	0	1	0	0	218	191	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SOTT1CaseInfo.json	12121	29	0	0	0	0	0	90	0	111	0	0	1	0	0	0	0	1	0	0	276	1954	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SOTT1ExposureMassGathering.json	3200	7	0	0	0	0	0	45	0	28	0	0	0	0	0	0	0	2	0	0	87	317	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SOTMeaslesEpiData.json	3492	7	0	0	0	0	0	40	0	27	0	0	0	0	0	0	0	0	0	0	73	323	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-SpecimenCollected.json	430	2	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	5	8535	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-LocTypeCs.json	860	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VaccineInfoSourceCs.json	592	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DetectedByCs.json	865	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SOTT1ExposureTravelHistory.json	3336	6	0	0	0	0	0	44	0	28	0	0	0	0	0	0	0	0	0	0	81	226	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-Questionnaire-SOTMeasles.json	8065	17	0	0	0	0	0	0	1	75	0	0	0	0	0	0	0	0	0	0	121	55	0	0	1	0	2	0	0
fsh-generated/resources/CodeSystem-ReportedByCs.json	645	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SOTT1ClinicalGastroIntestinal.json	8114	15	0	0	0	0	0	53	0	40	0	0	0	0	0	1	0	0	0	0	119	393	0	0	0	0	3	0	1
fsh-generated/resources/ValueSet-ReportedBy.json	388	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	61	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Results.json	368	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	59	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SOTT1ClinicalUrogynecology.json	4935	9	0	0	0	0	0	46	0	30	0	0	0	0	0	0	0	0	0	0	94	237	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-DomesticatedWild.json	430	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	7	37	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-YesNoUnknownCs.json	488	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	49	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-YesNoUnknown.json	402	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SOTT1ExposureChemical.json	4762	10	0	0	0	0	0	50	0	37	0	0	0	0	0	0	0	0	0	0	82	248	0	0	0	0	4	0	0
fsh-generated/resources/ValueSet-BiologicalSex.json	691	2	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	8	41	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SOTT1Clinical.json	18674	33	0	0	0	0	0	96	0	97	0	0	1	0	0	0	0	1	0	0	266	584	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SOTMeaslesContactTracing.json	2679	6	0	0	0	0	0	33	0	22	0	0	0	0	0	0	0	0	0	0	55	146	0	0	0	0	5	0	1
fsh-generated/resources/ValueSet-PatientOutcome.json	444	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	36	0	0	0	0	0	0	0
